Date,Time,Voltage
2024-07-23,10:41:40.23,0
2024-07-23,10:41:41.72,0
2024-07-23,10:41:43.07,0
2024-07-23,10:41:44.52,0
2024-07-23,10:41:45.88,0
2024-07-23,10:41:47.23,0
2024-07-23,10:41:48.59,0
2024-07-23,10:41:49.87,0
2024-07-23,10:41:51.15,0
2024-07-23,10:41:52.52,0
2024-07-23,10:41:53.88,0
2024-07-23,10:41:55.24,0
2024-07-23,10:41:56.60,0
2024-07-23,10:41:57.96,0
2024-07-23,10:41:59.36,0
2024-07-23,10:42:00.72,0
2024-07-23,10:42:02.08,0
2024-07-23,10:42:03.45,0
2024-07-23,10:42:04.80,0
2024-07-23,10:42:06.36,0
2024-07-23,10:42:07.80,0
2024-07-23,10:42:09.16,0
2024-07-23,10:42:10.52,0
2024-07-23,10:42:11.91,0
2024-07-23,10:42:13.28,0
2024-07-23,10:42:14.72,0
2024-07-23,10:42:16.08,0
2024-07-23,10:42:17.44,0
2024-07-23,10:42:18.79,0
2024-07-23,10:42:20.17,0
2024-07-23,10:42:21.52,0
2024-07-23,10:42:22.92,0
2024-07-23,10:42:24.28,0
2024-07-23,10:42:25.71,0
2024-07-23,10:42:27.08,0
2024-07-23,10:42:28.44,0
2024-07-23,10:42:29.84,0
2024-07-23,10:42:31.21,0
2024-07-23,10:42:32.65,0
2024-07-23,10:42:34.00,0
2024-07-23,10:42:35.36,0
2024-07-23,10:42:36.71,-0.003
2024-07-23,10:42:38.08,-0.002
2024-07-23,10:42:39.43,0.002
2024-07-23,10:42:40.83,0.001
2024-07-23,10:42:42.20,-0.001
2024-07-23,10:42:43.64,-0.002
2024-07-23,10:42:45.00,-0.001
2024-07-23,10:42:46.35,-0.003
2024-07-23,10:42:47.70,-0.001
